band_pid,issue_pid,issue_number,year,manifest_url,author,title,pages,issn,error
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::326/manifest,"Weber, Hartmut",Bedienungsanleitung für einen Locher,36-37,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::328/manifest,,Meinung - Gegenmeinung,38-40,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::329/manifest,"Garbrecht, Dieter",Das System der Gewalt : Ingenieure und Technik,41-45,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::330/manifest,"Kapielski, T.",Die Mathematisierung des Todes,46-47,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::331/manifest,"Trepl, Ludwig",Ökologisches Gleichgewicht und Entwicklung : zu einigen Fragen der Ökologiebewegung,48-51,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::332/manifest,,Projekte,52-60,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::333/manifest,,Nachrichten,61-61,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::335/manifest,,Rezensionen,62-65,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::336/manifest,,Nachrichten,66-66,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::337/manifest,,Technoptikum,67-67,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::305,5,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::338/manifest,,Inhaltsverzeichnis,68-68,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::339,6,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::340/manifest,,Titelseiten,,0172-1623,
wsw-001:1980:2,wsw-001:1980:2::339,6,1980,https://www.e-periodica.ch/iiif/wsw-001:1980:2::341/manifest,,Nachrichten,2-2,0172-1623,
